"lsoa01","access01","access11","access01_exp","access11_exp"
"E01003527",2259671,2737314,12307.5481242414,17908.8210177486
"E01003528",2105803,2572594,12501.889623673,16299.5913155095
"E01003529",2195148,2671259,12432.7781744661,17021.8664525709
"E01003530",2142613,2611251,12544.9876551061,16674.4573887746
"E01003531",2249202,2729497,13178.3652271863,18303.8944092645
"E01003532",2197594,2671381,12796.9541255886,17414.7013094569
"E01003533",2277197,2761253,13247.5158037656,18804.6424691361
"E01003534",2168626,2638566,12014.3343027805,16347.679406862
"E01003535",2131207,2597081,10678.4396333742,15105.7948562004
"E01003536",2185554,2658250,10603.7119561315,15519.884765299
"E01003537",2253149,2728874,11584.7235937263,17204.2287880782
"E01003538",2238020,2711775,10801.0792417427,16361.154316353
"E01003539",2338714,2832639,11776.2490616044,18022.7988469461
"E01003540",2228783,2703490,10291.9894103123,15993.997358527
"E01003541",2289947,2773501,10574.0350491066,16563.4261700075
"E01003542",2196698,2669000,11540.5924019329,16358.0426102513
"E01003543",2314246,2822969,10223.3888310695,14634.9010794523
"E01003544",2355691,2876088,11552.8208019402,16812.2324282576
"E01003545",2376968,2902243.06,12118.5807379924,17643.0340192706
"E01003546",2352593,2870061,10985.6739023294,15933.6794583583
"E01003547",2294002,2793425,9915.96995272341,14065.9125456008
"E01003548",2413884,2945545,12611.9510897563,18558.6758695701
"E01003549",2416811,2948233,13121.5837245187,19076.0769204719
"E01003550",2337811,2853285,10238.1914926646,14869.4242978407
"E01003551",2390763,2916443.06,13589.1953360354,19297.1441537707
"E01003552",2386065,2908163,13617.4583254356,19291.2073606519
"E01003553",2416091,2945350.06,13917.4338341653,19805.2258361038
"E01003554",2423506,2951222.06,14275.1521995647,20179.5977097814
"E01003555",2314412,2815857,11271.8494833292,16046.517340191
"E01003556",2343050,2856110,12074.7568014269,17150.1911006928
"E01003557",2380516,2904175.06,12929.8372260555,18516.6744928848
"E01003558",2364294,2881880,13373.6391927981,18724.647698285
"E01003559",2435641,2968918,14416.0574916445,20471.419051122
"E01003560",2283468,2776031,12238.3882771845,17431.8308472551
"E01003561",2301312,2797648,12297.7217460939,17554.580036299
"E01003562",2319440,2816647,12989.5525366241,18592.5753133985
"E01003563",2288926,2782140,12741.5786027933,18176.9950380441
"E01003564",2322113,2819289,13382.5825637083,19199.8386485794
"E01003565",2311529,2805834,13551.7786000442,19381.0775862151
"E01003566",2336140,2835849,13742.1726585857,19758.2517012126
"E01003567",2308495,2808286,12147.1962091627,17305.7700656022
"E01003568",2376456,2889492,13870.3216615673,20056.9600270295
"E01003569",2366719,2876067,13853.8828856646,19997.2771175115
"E01003570",2347214,2860129,12986.0264419278,18378.9153341147
"E01003571",2349157,2861939,13219.9271087037,18814.8108849018
"E01003572",2372764,2888148,13591.0821025864,19275.4247021749
"E01003573",2355025,2863972,13543.9189339278,19397.2142136762
"E01003574",2375913,2893121,13802.2086666955,19801.9999017027
"E01003575",2101290,2568801,12358.8288539155,16065.8016771272
"E01003576",2011084,2466125.81,12165.615513068,14718.6109400458
"E01003577",1982330,2432254.81,13185.550664021,15485.261699234
"E01003578",2126164,2597484,11034.7831523341,14145.7647006812
"E01003579",2127227,2597375,11735.5164930941,15394.694119879
"E01003580",2001273,2450255,12832.3658023528,15997.5130573388
"E01003581",2062047,2523520,11750.2711093004,14919.8928552044
"E01003582",1996487,2445699,12764.4279877956,15595.616641542
"E01003583",2055979,2516456,12389.3748476097,15673.3994241452
"E01003584",2258024,2747046,10357.217799907,14536.8958345715
"E01003585",2156178,2627337,11458.6730139575,15329.2824369032
"E01003586",2263392,2751373,11408.9166966524,16123.870947185
"E01003587",2221794,2704540,11262.5296001537,15610.5949266681
"E01003588",2242786,2725966,11881.2839050054,16667.3412115529
"E01003589",2246964,2730395,12296.7145828867,17277.2446807951
"E01003590",2204812,2690219,10070.01805585,13704.3954195441
"E01003591",2175746,2652492,10903.4781566936,14768.3663739524
"E01003592",2395656,2915820,13893.0985671425,20257.8846738683
"E01003593",2466324,2993118.06,14053.0587855524,20512.7842006214
"E01003594",2435391,2961497.06,13840.4893025827,20526.3726839607
"E01003595",2435136,2958755,13856.9066850069,20432.9302274061
"E01003596",2412328,2934816,13872.8111706909,19999.2712658698
"E01003597",2393720,2913185,13850.9306392252,20051.2745142732
"E01003598",2423355,2947353.06,13945.6059820789,20139.3195726342
"E01003599",2377995,2890796,13947.9505228227,20249.0778238802
"E01003600",2425146,2949313.06,13907.3907753658,20265.0430041833
"E01003601",2388694,2904240,12683.3410172726,19596.5706926909
"E01003602",2396069,2915214,13279.2793579625,20109.0843467218
"E01003603",2363243,2867389,13197.5753959813,20068.5181882708
"E01003604",2400405,2918683,11981.4411026818,18741.3519136039
"E01003605",2368664,2874072,13678.3176634953,20246.7441144806
"E01003606",2377701,2892449,13912.8973759883,20286.2738430466
"E01003607",2399892,2921047,13696.134227781,20266.6355998572
"E01003608",2369126,2881967,13256.5646622257,20032.342980152
"E01003609",2332735,2821892,9645.16877637036,14115.0209931296
"E01003610",2171576,2636616,8679.22791186887,13946.6611351435
"E01003611",2167741,2632163,8727.86901053138,13828.5423796377
"E01003612",2441732,2968416,10657.7599181941,16097.2706356417
"E01003613",2551305,3103714,17997.9489197344,22899.5460755531
"E01003614",2480498,3027525,12716.7358096021,18879.2390545127
"E01003615",2452088,2993588,12891.5018911245,18995.189637579
"E01003616",2456954,2998152,13816.455785282,20007.3501888255
"E01003617",2468976,3011916,14726.7648092952,20934.2679129591
"E01003618",2470592,3005727,15527.679726423,21451.6513171676
"E01003619",2495272,3036960,16494.0580066208,22252.4369245225
"E01003620",2535056,3087662,16634.3699853101,20836.9201815629
"E01003621",2156623,2622995,13026.7846033182,17305.5053034532
"E01003622",2124039,2589137,12839.5877910284,16875.9099051324
"E01003623",2121473,2585896,12348.7686420303,16444.9783428346
"E01003624",2166549,2632865,12499.1193946196,16975.9497581638
"E01003625",2096513,2563866,12862.5762327587,16790.1214669505
"E01003626",2136117,2605518,12852.0708144344,17063.2660077471
"E01003627",2154479,2623517,13082.6561207187,17451.9967823556
"E01003628",2124023,2587683,13021.8972128556,17191.8205362191
"E01003629",2193342,2665950,13343.0224344866,18015.3695551363
"E01003630",2468409,2999526,14355.932825672,20510.9637716257
"E01003631",2506654,3045857,15077.3014613618,21145.4720057887
"E01003632",2487400,3022188,14498.0979656253,20723.6028690565
"E01003633",2497381,3035254,15201.32871856,21058.5369855518
"E01003634",2507788,3047110,16076.3651729951,21647.6623624274
"E01003635",2456247,2988147,14570.0000850746,20561.5714685535
"E01003636",2487389,3024305,15321.7051745217,21245.2406383573
"E01003637",2461005,2990314,14378.7672945985,20450.5992599436
"E01003638",1345541,1693821.95,8091.29342658373,9371.48327473674
"E01003639",1296613,1635573.95,7466.32937691919,8795.37411086827
"E01003640",864253,1117603.95,6090.3099918518,7295.10308089213
"E01003641",989151,1286682,7403.1080436572,8878.00332812115
"E01003642",1011544,1315817,7645.37518373489,9151.92033435456
"E01003643",1371837,1722432,8546.19739119462,9911.87142130964
"E01003644",1457981,1819025.02,9276.95066385292,10716.006306627
"E01003645",1382595,1735455,9008.17740889697,10549.511822957
"E01003646",1712859,2119512.28,8435.46360087343,9808.57183209035
"E01003647",1483926,1852595.82,9080.46675859955,10404.9103106212
"E01003648",1387581,1743316,7368.40275616472,8617.64756042381
"E01003649",1475819,1847774,7454.87890700813,8741.93362801994
"E01003650",1388021,1741825.95,8288.240852296,9596.42865005695
"E01003651",1615460,2005335,8191.04631093201,9521.77274529607
"E01003652",1493354,1869023.97,8208.02252961797,9492.8077404489
"E01003653",1529642,1907845.8,8815.28341651169,10112.0482877497
"E01003654",1559852,1940436,5663.48735991034,6944.59054662456
"E01003655",1424273,1789903,5007.4525329662,6173.93948162898
"E01003656",1307279,1653984,4249.25897684638,5302.86743461151
"E01003657",1337688,1688058,4684.51239245063,5792.43989492091
"E01003658",1441717,1813353,5075.13541754565,6304.7803455785
"E01003659",1463732,1832227,5090.78838777318,6259.46008394102
"E01003660",1307986,1640077,4239.05630674922,5239.20021390223
"E01003661",760654,972531.82,8228.37388188064,9932.12016348354
"E01003662",763095,976131.82,8411.82301199198,10199.6031551389
"E01003663",719770,935000.77,6500.75103954985,7695.00747619104
"E01003664",697443,907517.95,6733.96534743493,7942.22835919515
"E01003665",719653,933161.82,7462.15547964316,8890.94477750857
"E01003666",818683,1054021,8729.69386324705,10608.8909438294
"E01003667",800089,1035775,8094.68464728778,9673.08303657601
"E01003668",1996416,2437250,8105.32410492523,9866.21993258728
"E01003669",1965167,2401787,7646.67936057478,9231.12006363593
"E01003670",1849139,2277046,7096.2996963945,8587.71579574854
"E01003671",1756924,2167448,6865.67528796049,8295.19295378585
"E01003672",1956038,2391878,7822.47129775834,9354.3424702918
"E01003673",2021029,2467824.32,7983.81981015372,9645.49753364326
"E01003674",1866531,2297471.32,8011.57522771533,9569.25352751495
"E01003675",1879871,2313020,7834.59618520942,9241.69001553938
"E01003676",1781652,2200120,8048.04961756073,9457.30421401487
