"TTWA11NM","total.pop","n.bua","rci01","rci11","rcidiff","rci01_main","rci11_main","rcidiff_main","work01","work01_sq","work11","work11_sq","workdiff","workdiff_sq","geo04","geo10","geodiff","type"
"York",304726,4,0.121077252824321,0.0559247104126968,-0.0651525424116244,0.121615305209872,0.0583748609353449,-0.0632404442745269,0.0614282596728657,-0.0324954271396365,0.00715377405896334,-0.0374320577508058,-0.0542744856139024,-0.00493663061116933,0.193595184998301,0.150406000073573,-0.0431891849247279,"inc"
"Blackburn",304166,4,0.223974563703692,0.183561277664069,-0.0404132860396231,0.216737383096984,0.176336136652083,-0.0404012464449011,0.0269969639512624,0.120156154070557,0.0305517982835397,0.0822037800561333,0.00355483433227732,-0.0379523740144236,0.317508197364575,0.293834975209251,-0.023673222155324,"inc"
"Northampton",299245.08,2,0.181203231112463,0.149269827851199,-0.031933403261263,0.181037312472839,0.148701625094617,-0.0323356873782217,0.10933515106062,0.0643264925964928,0.0940123088354596,-0.000495517143576762,-0.0153228422251601,-0.0648220097400696,0.248968593576222,0.215001168024941,-0.0339674255512818,"inc"
"Newport",289453,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Worcester and Kidderminster",283517,3,0.111370187891865,0.0877184956182049,-0.0236516922736598,-0.0162137000984899,-0.02976913942328,-0.0135554393247901,0.0534656563752662,-0.0226050836010643,0.0354424419962811,-0.0340341108993272,-0.0180232143789851,-0.0114290272982629,0.224413444705988,0.231802777452799,0.00738933274681131,"inc"
"Chester",277998,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Doncaster",277376,2,0.0356076510533825,0.0372056013975737,0.00159795034419119,0.02899529557709,0.0294591059372351,0.000463810360145089,0.0707131107665617,0.0406023278252263,0.0764070196679114,0.0139027593196204,0.00569390890134969,-0.026699568505606,0.159026969976864,0.16258164906877,0.00355467909190565,"inc"
"Crewe",273192,4,0.149088778448828,0.134565152433282,-0.0145236260155457,0.0983056443682386,0.0707312269669984,-0.0275744174012402,-0.055748571575684,-0.0177169952740002,-0.0346623456429072,-0.0248457807174844,0.0210862259327769,-0.00712878544348428,0.197991890189641,0.224075131470059,0.0260832412804177,"inc"
"Mansfield",271491,5,0.0786558812234688,0.0857635499961589,0.00710766877269009,0.076333941300156,0.0668867509248798,-0.00944719037527619,0.0148354485064388,0.00724758844015128,0.0233187389080598,-0.00415713257442718,0.00848329040162099,-0.0114047210145785,0.150103861878762,0.143673229211643,-0.00643063266711863,"inc"
"Tunbridge Wells",270006,8,0.0477182051992102,0.0197154497038099,-0.0280027554954003,0.0747812577731466,0.0445985154278787,-0.0301827423452679,-0.0209959311009484,-0.00732285051017811,-0.00140530989521892,-0.0633662700478155,0.0195906212057295,-0.0560434195376374,0.136351422168772,0.109445291265715,-0.0269061309030576,"inc"
"Blackpool",265709,3,0.202353740261174,0.251090187704264,0.0487364474430905,0.204220881451192,0.252841210700481,0.0486203292492888,-0.0931712278634578,0.0859642276401473,-0.103519536521155,0.115334610247885,-0.0103483086576972,0.0293703826077376,0.237582021214592,0.2062599097343,-0.0313221114802928,"inc"
"Durham and Bishop Auckland",234479,4,-0.0751614666440474,-0.0825815908859511,-0.00742012424190364,-0.0688920894377674,-0.0769722810733455,-0.00808019163557816,-0.0730483229260699,-0.13118583356124,-0.0840685478591041,-0.144341671057163,-0.0110202249330342,-0.0131558374959226,0.152316987993892,0.1655777098713,0.0132607218774083,"inc"
"Gloucester",230677,1,0.225220913251029,0.198349090073613,-0.0268718231774159,0.225220913251029,0.198349090073613,-0.0268718231774159,0.113665395003679,0.0854459755421502,0.098555584716955,0.0364710071080196,-0.0151098102867238,-0.0489749684341305,0.246064146946679,0.224338969273759,-0.0217251776729199,"inc"
"Barnsley",229505,4,0.00686077562562559,0.0140219214294461,0.00716114580382055,0.00670752797361018,0.0109338269702306,0.00422629899662041,0.0789727567986773,-0.0673440182353247,0.0781186646023571,-0.0192068320072494,-0.000854092196320266,0.0481371862280753,0.173953149063863,0.152776918429183,-0.0211762306346799,"inc"
"Trowbridge",225261,4,0.0951565559153877,0.0793730332719278,-0.0157835226434599,0.0182757501111865,0.0206990038540553,0.00242325374286878,0.0177574727126597,0.0820305611702281,0.0118668892258214,0.0497195984933896,-0.00589058348683835,-0.0323109626768385,0.176595308333809,0.168268434532671,-0.00832687380113839,"inc"
"Leamington Spa",222925,7,0.134080812509787,0.0607180862878778,-0.0733627262219088,0.134348850053065,0.0575208959580351,-0.0768279540950303,0.035772696983102,0.0563679347353911,0.000363913174993513,0.0169785619825973,-0.0354087838081085,-0.0393893727527939,0.162227912489762,0.144171039735127,-0.0180568727546344,"inc"
