"TTWA11NM","lsoa01","weight"
"Hastings","E01021124",1
"Hastings","E01021125",1
"Hastings","E01021126",1
"Hastings","E01021127",1
"Hastings","E01021128",1
"Hastings","E01021129",1
"Hastings","E01021130",1
"Hastings","E01021131",1
"Hastings","E01021132",1
"Hastings","E01021133",1
"Hastings","E01021135",1
"Hastings","E01021136",1
"Hastings","E01021137",1
"Hastings","E01021138",1
"Hastings","E01021204",1
"Hastings","E01021205",1
"Hexham","E01019305",1
"Hexham","E01027476",1
"Hexham","E01027477",1
"Hexham","E01027478",1
"Hexham","E01027479",1
"Hexham","E01027480",1
"Hexham","E01027481",1
"Hexham","E01027482",1
"Hexham","E01027484",1
"Hexham","E01027485",1
"Hexham","E01027486",1
"Hexham","E01027487",1
"Hexham","E01027488",1
"Hexham","E01027489",1
"Hexham","E01027490",1
"Hexham","E01027491",1
"Hexham","E01027492",1
"Hexham","E01027493",1
"Hexham","E01027494",1
"Hexham","E01027495",1
"Hexham","E01027503",1
"Hexham","E01027504",1
"Hexham","E01027505",1
"Hexham","E01027510",1
"Hexham","E01027511",1
"Hexham","E01027512",1
"Isle of Wight","E01017282",1
"Isle of Wight","E01017283",1
"Isle of Wight","E01017284",1
"Isle of Wight","E01017285",1
"Isle of Wight","E01017286",1
"Isle of Wight","E01017287",1
"Isle of Wight","E01017288",1
"Isle of Wight","E01017289",1
"Isle of Wight","E01017290",1
"Isle of Wight","E01017291",1
"Isle of Wight","E01017292",1
"Isle of Wight","E01017293",1
"Isle of Wight","E01017294",1
"Isle of Wight","E01017295",1
"Isle of Wight","E01017296",1
"Isle of Wight","E01017297",1
"Isle of Wight","E01017298",1
"Isle of Wight","E01017299",1
"Isle of Wight","E01017300",1
"Isle of Wight","E01017301",1
"Isle of Wight","E01017302",1
"Isle of Wight","E01017303",1
"Isle of Wight","E01017304",1
"Isle of Wight","E01017305",1
"Isle of Wight","E01017306",1
"Isle of Wight","E01017307",1
"Isle of Wight","E01017308",1
"Isle of Wight","E01017309",1
"Isle of Wight","E01017310",1
"Isle of Wight","E01017311",1
"Isle of Wight","E01017312",1
"Isle of Wight","E01017313",1
"Isle of Wight","E01017314",1
"Isle of Wight","E01017315",1
"Isle of Wight","E01017316",1
"Isle of Wight","E01017317",1
"Isle of Wight","E01017318",1
"Isle of Wight","E01017319",1
"Isle of Wight","E01017320",1
"Isle of Wight","E01017321",1
"Isle of Wight","E01017322",1
"Isle of Wight","E01017323",1
"Isle of Wight","E01017324",1
"Isle of Wight","E01017325",1
"Isle of Wight","E01017326",1
"Isle of Wight","E01017327",1
"Isle of Wight","E01017328",1
"Isle of Wight","E01017329",1
"Isle of Wight","E01017330",1
"Isle of Wight","E01017331",1
"Isle of Wight","E01017332",1
"Isle of Wight","E01017333",1
"Isle of Wight","E01017334",1
"Isle of Wight","E01017335",1
"Isle of Wight","E01017336",1
"Isle of Wight","E01017337",1
"Isle of Wight","E01017338",1
"Isle of Wight","E01017339",1
"Isle of Wight","E01017340",1
"Isle of Wight","E01017341",1
"Isle of Wight","E01017342",1
"Isle of Wight","E01017343",1
"Isle of Wight","E01017344",1
"Isle of Wight","E01017345",1
"Isle of Wight","E01017346",1
"Isle of Wight","E01017347",1
"Isle of Wight","E01017348",1
"Isle of Wight","E01017349",1
"Isle of Wight","E01017350",1
"Isle of Wight","E01017351",1
"Isle of Wight","E01017352",1
"Isle of Wight","E01017353",1
"Isle of Wight","E01017354",1
"Isle of Wight","E01017355",1
"Isle of Wight","E01017356",1
"Isle of Wight","E01017357",1
"Isle of Wight","E01017358",1
"Isle of Wight","E01017359",1
"Isle of Wight","E01017360",1
"Isle of Wight","E01017361",1
