"","lsoa01cd","fua"
"1011","E01001011","London"
"1012","E01001012","London"
"1013","E01001013","London"
"1014","E01001014","London"
"1015","E01001015","London"
"1016","E01001016","London"
"1017","E01001017","London"
"1018","E01001018","London"
"1019","E01001019","London"
"1020","E01001020","London"
"1021","E01001021","London"
"1022","E01001022","London"
"1023","E01001023","London"
"1024","E01001024","London"
"1025","E01001025","London"
"1026","E01001026","London"
"1027","E01001027","London"
"1028","E01001028","London"
"1029","E01001029","London"
"1030","E01001030","London"
"1031","E01001031","London"
"1032","E01001032","London"
"1033","E01001033","London"
"1034","E01001034","London"
"1035","E01001035","London"
"1036","E01001036","London"
"1037","E01001037","London"
"1038","E01001038","London"
"1039","E01001039","London"
"1040","E01001040","London"
"1041","E01001041","London"
"1042","E01001042","London"
"1043","E01001043","London"
"1044","E01001044","London"
"1045","E01001045","London"
"1046","E01001046","London"
"1047","E01001047","London"
"1048","E01001048","London"
"1049","E01001049","London"
"1050","E01001050","London"
"1051","E01001051","London"
"1052","E01001052","London"
"1053","E01001053","London"
"1054","E01001054","London"
"1055","E01001055","London"
"1056","E01001056","London"
"1057","E01001057","London"
"1058","E01001058","London"
"1059","E01001059","London"
"1060","E01001060","London"
"1061","E01001061","London"
"1062","E01001062","London"
"1063","E01001063","London"
"1064","E01001064","London"
"1065","E01001065","London"
"1066","E01001066","London"
"1067","E01001067","London"
"1068","E01001068","London"
"1069","E01001069","London"
"1070","E01001070","London"
"1071","E01001071","London"
"1072","E01001072","London"
"1073","E01001073","London"
"1074","E01001074","London"
"1075","E01001075","London"
"1076","E01001076","London"
"1077","E01001077","London"
"1078","E01001078","London"
"1079","E01001079","London"
"1080","E01001080","London"
"1081","E01001081","London"
"1082","E01001082","London"
"1083","E01001083","London"
"1084","E01001084","London"
"1085","E01001085","London"
"1086","E01001086","London"
"1087","E01001087","London"
"1088","E01001088","London"
"1089","E01001089","London"
"1090","E01001090","London"
"1091","E01001091","London"
"1092","E01001092","London"
"1093","E01001093","London"
"1094","E01001094","London"
"1095","E01001095","London"
"1096","E01001096","London"
"1097","E01001097","London"
"1098","E01001098","London"
"1099","E01001099","London"
"1100","E01001100","London"
"1101","E01001101","London"
"1102","E01001102","London"
"1103","E01001103","London"
"1104","E01001104","London"
"1105","E01001105","London"
"1106","E01001106","London"
"1107","E01001107","London"
"1108","E01001108","London"
"1109","E01001109","London"
"1110","E01001110","London"
"1111","E01001111","London"
"1112","E01001112","London"
"1113","E01001113","London"
"1114","E01001114","London"
"1115","E01001115","London"
"1116","E01001116","London"
"1117","E01001117","London"
"1118","E01001118","London"
"1119","E01001119","London"
"1120","E01001120","London"
"1121","E01001121","London"
"1122","E01001122","London"
"1123","E01001123","London"
"1124","E01001124","London"
"1125","E01001125","London"
"1126","E01001126","London"
"1127","E01001127","London"
"1128","E01001128","London"
"1129","E01001129","London"
"1130","E01001130","London"
"1131","E01001131","London"
"1132","E01001132","London"
"1133","E01001133","London"
"1134","E01001134","London"
"1135","E01001135","London"
"1136","E01001136","London"
"1137","E01001137","London"
"1138","E01001138","London"
"1139","E01001139","London"
"1140","E01001140","London"
"1141","E01001141","London"
"1142","E01001142","London"
"1143","E01001143","London"
"1144","E01001144","London"
"1145","E01001145","London"
"1146","E01001146","London"
"1147","E01001147","London"
"1148","E01001148","London"
"1149","E01001149","London"
"1150","E01001150","London"
"1151","E01001151","London"
"1152","E01001152","London"
"1153","E01001153","London"
"1154","E01001154","London"
"1155","E01001155","London"
"1156","E01001156","London"
"1157","E01001157","London"
"1158","E01001158","London"
"1159","E01001159","London"
"1160","E01001160","London"
"1161","E01001161","London"
"1162","E01001162","London"
"1163","E01001163","London"
"1164","E01001164","London"
"1165","E01001165","London"
"1166","E01001166","London"
"1167","E01001167","London"
"1168","E01001168","London"
"1169","E01001169","London"
"1170","E01001170","London"
"1171","E01001171","London"
"1172","E01001172","London"
"1173","E01001173","London"
"1174","E01001174","London"
"1175","E01001175","London"
"1176","E01001176","London"
"1177","E01001177","London"
"1178","E01001178","London"
"1179","E01001179","London"
"1180","E01001180","London"
"1181","E01001181","London"
"1182","E01001182","London"
"1183","E01001183","London"
"1184","E01001184","London"
"1185","E01001185","London"
"1186","E01001186","London"
"1187","E01001187","London"
"1188","E01001188","London"
"1189","E01001189","London"
"1190","E01001190","London"
"1191","E01001191","London"
"1192","E01001192","London"
"1193","E01001193","London"
"1194","E01001194","London"
"1195","E01001195","London"
"1196","E01001196","London"
"1197","E01001197","London"
"1198","E01001198","London"
"1199","E01001199","London"
"1200","E01001200","London"
"1201","E01001201","London"
"1202","E01001202","London"
"1203","E01001203","London"
"1204","E01001204","London"
"1205","E01001205","London"
"1206","E01001206","London"
"1207","E01001207","London"
"1208","E01001208","London"
"1209","E01001209","London"
"1210","E01001210","London"
"1211","E01001211","London"
"1212","E01001212","London"
"1213","E01001213","London"
"1214","E01001214","London"
"1215","E01001215","London"
"1216","E01001216","London"
"1217","E01001217","London"
"1218","E01001218","London"
"1219","E01001219","London"
"1220","E01001220","London"
"1221","E01001221","London"
"1222","E01001222","London"
"1223","E01001223","London"
"1224","E01001224","London"
"1225","E01001225","London"
"1226","E01001226","London"
"1227","E01001227","London"
"1228","E01001228","London"
"1229","E01001229","London"
"1230","E01001230","London"
"1231","E01001231","London"
"1232","E01001232","London"
"1233","E01001233","London"
"1234","E01001234","London"
"1235","E01001235","London"
"1236","E01001236","London"
"1237","E01001237","London"
"1238","E01001238","London"
"1239","E01001239","London"
"1240","E01001240","London"
"1241","E01001241","London"
"1242","E01001242","London"
"1243","E01001243","London"
"1244","E01001244","London"
